Subsystem,Signal / Tag Name,Description,OPC-UA Node Address,Data Type,Eng Units,Signal Source,Scaling / Derivation,Sensor Span Min,Sensor Span Max,Nominal Value,Desired Range Min,Desired Range Max,Low Interlock (Trip),Low-Low,Low,High,High-High,High Interlock (Trip),Alarm Deadband / Hysteresis,Alarm On-Delay (s),Interlock Action,DCS Access,Historize?,Min Historization Rate (ms),Poll / Scan Rate (ms),Notes,Control Owner
PMBus Regulators,StatusTemperature,PMBus temperature fault bitmap.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.StatusTemperature,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=LOCAL READABLE | AUTHORITY=Read-only | INSTANCE=per PMBus regulator: 3VD3, 2VA1, 3VA6, 1VD8 | SOURCE=PJT004A0X43 / Rust PMBus collector | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Rail fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls",Slow Controls
PMBus Regulators,StatusCml,PMBus communication/memory/logic fault bitmap.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.StatusCml,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=LOCAL READABLE | AUTHORITY=Read-only | INSTANCE=per PMBus regulator: 3VD3, 2VA1, 3VA6, 1VD8 | SOURCE=PJT004A0X43 / Rust PMBus collector | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Rail fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls",Slow Controls
PMBus Regulators,Health,Decoded regulator health summary.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Power.PMBus.{Rail}.Health,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only | INSTANCE=per PMBus regulator: 3VD3, 2VA1, 3VA6, 1VD8 | SOURCE=PJT004A0X43 / Rust PMBus collector | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Rail fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls",Slow Controls
Temperature,Celsius,Typed temperature reading.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.Celsius,Double,°C,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,5000,5000,STATUS=CURRENT PROTOBUF | AUTHORITY=Read-only | INSTANCE=per discovered allow-listed sensor | SOURCE=SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Thermal fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
Temperature,Status,"Good, Warning, High, Critical, Missing, or Invalid.",nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.Status,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only | INSTANCE=per discovered allow-listed sensor | SOURCE=SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Thermal fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
Temperature,LastUpdate,Source time of the temperature reading.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Thermal.Sensors.{Sensor}.LastUpdate,DateTime,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only | INSTANCE=per discovered allow-listed sensor | SOURCE=SlowControlStatusResponse.TemperatureReading; Linux thermal/hwmon; PMBus/MCP9808/SFP | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Thermal fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,BlockEnabled,HD mezzanine I2C block is selected/enabled.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.BlockEnabled,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Configured,HD mezzanine monitor/protection configuration is valid.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Configured,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=REQUIRED PRODUCTION | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Power5VRequested,Requested 5 V enable state from the paired power command.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power5VRequested,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Power3V3Requested,Requested 3.3 V enable state from the paired power command.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power3V3Requested,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Voltage5V,Measured 5 V rail voltage.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Voltage5V,Double,V,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Current5V,Measured 5 V rail current.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Current5V,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Power5V,Measured 5 V rail power.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power5V,Double,W,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Alert5V,Latched INA232 5 V alert.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Alert5V,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Voltage3V3,Measured 3.3 V rail voltage.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Voltage3V3,Double,V,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Current3V3,Measured 3.3 V rail current.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Current3V3,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Power3V3,Measured 3.3 V rail power.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Power3V3,Double,W,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,Alert3V3,Latched INA232 3.3 V alert.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.Alert3V3,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,RShunt5V,Configured 5 V shunt resistance.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.RShunt5V,Double,Ohm,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,RShunt3V3,Configured 3.3 V shunt resistance.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.RShunt3V3,Double,Ohm,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,MaxCurrentScale5V,5 V measurement full-scale current configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxCurrentScale5V,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,MaxCurrentScale3V3,3.3 V measurement full-scale current configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxCurrentScale3V3,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,ShutdownCurrent5V,5 V hardware alert/shutdown-current configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShutdownCurrent5V,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,ShutdownCurrent3V3,3.3 V hardware alert/shutdown-current configuration.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShutdownCurrent3V3,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,MaxPower5V,Derived 5 V maximum measurable power.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxPower5V,Double,W,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,MaxPower3V3,Derived 3.3 V maximum measurable power.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.MaxPower3V3,Double,W,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,CurrentLsb5V,Configured INA232 5 V current LSB.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.CurrentLsb5V,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,CurrentLsb3V3,Configured INA232 3.3 V current LSB.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.CurrentLsb3V3,Double,A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,1000,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,ShuntCal5V,INA232 5 V calibration register readback.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShuntCal5V,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
HD Mezzanine,ShuntCal3V3,INA232 3.3 V calibration register readback.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.HDMezz.{Afe}.ShuntCal3V3,Integer,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,1000,STATUS=CURRENT PROTOBUF | AUTHORITY=SC owns rail requests; monitor values are read-only | INSTANCE=per AFE block 0..4 when HD mezzanine is installed | SOURCE=HD mezzanine Protobuf API and cached INA232/TCA9536 driver | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Mezzanine power fault | INTERLOCK=Candidate | CONTROL_OWNER=Slow Controls,Slow Controls
SFP,Present,SFP module is present.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.Present,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,LossOfSignal,Receiver loss-of-signal input is asserted.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.LossOfSignal,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=LOCAL READABLE | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,TxFault,SFP transmitter fault input is asserted.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxFault,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,TxDisabled,SFP transmitter is disabled.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.TxDisabled,Boolean,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,5000,"STATUS=LOCAL READABLE | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,RateSelect,SFP rate-select state when wired.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.RateSelect,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,VendorName,SFP vendor name from EEPROM.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.VendorName,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,VendorOui,SFP vendor OUI.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.VendorOui,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,PartNumber,SFP vendor part number.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.PartNumber,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,Revision,SFP vendor revision.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.Revision,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,SerialNumber,SFP serial number.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.SerialNumber,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,DateCode,SFP manufacturing date code.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.DateCode,String,N/A,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,NominalBitRateMbps,SFP nominal signaling rate.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.NominalBitRateMbps,Integer,Mbit/s,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,On-Change,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFP GPIO/I2C expander 0x72 and SFF-8472 | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls",Slow Controls
SFP,WavelengthNm,SFP nominal transmit wavelength.,nsu=urn:dune:pds:daphne;s=DAPHNE.Boards.{BoardId}.Optics.SFP.{Sfp}.WavelengthNm,Double,nm,Direct,None,,,,,,,,,,,,,,,Read-Only,Yes,5000,30000,"STATUS=REQUIRED PRODUCTION | AUTHORITY=Read-only; TX disable controlled by endpoint/link firmware | INSTANCE=per timing, CCM, and provisioned data SFP | SOURCE=SFF-8472 plus EDMS 2580777 endpoint SFP specification | EXPOSURE=Baseline DCS | STATES=All states | ALARM=Optical link fault | INTERLOCK=Readiness | CONTROL_OWNER=Slow Controls | For {Sfp}=timing, the authoritative endpoint specification is TX 1550 nm / RX 1490 nm. Other SFP roles use their approved role-specific inventory values.",Slow Controls
